country,wave,year,n_respondents,index_all,index_imf,index_idawb,index_unsc
KOR,3.0,1996.0,1249,0.0639556409174098,-0.0255982620060008,0.0659125861469317,0.160061772141185
KOR,4.0,2001.0,1200,-0.0170113889067174,0.0408491091432833,-0.0746825929168146,0.0473531637434725
KOR,5.0,2005.0,1200,0.0295243867376531,0.107344123885326,-0.009565710519682,0.0685045673224731
KOR,6.0,2010.0,1200,0.0431501605936692,0.0373860752585428,0.0392137566256282,0.0620165891363203
KOR,7.0,2018.0,1245,0.0600733878591922,0.1725564685278226,0.0069808684327581,0.0612017768216605
KWT,6.0,2014.0,1299,0.0275523339760957,0.0668444742241765,-0.0264098519480052,0.1622584355550619
LBN,6.0,2013.0,1200,-0.1909984462054541,-0.2005711053651427,-0.2291808164172148,-0.043460299201118
LBN,7.0,2018.0,1200,-0.2017304573308873,-0.2444968010077456,-0.1567186255836414,-0.2172443003983608
LBY,6.0,2014.0,2129,-0.046786915433963,-0.0329346241480435,-0.0998691709904901,0.0580237199308012
LBY,7.0,2022.0,1196,-0.2072863106628493,-0.3049427549883224,-0.1924394051454639,-0.1906628767923
LTU,3.0,1997.0,1009,-0.0777760838458483,0.0632577729498299,-0.0842061795200983,-0.1984053486962371
LVA,3.0,1996.0,1200,-0.0682035894479608,0.0580045971350132,-0.0822659032258816,-0.1640894333406378
MAC,7.0,2019.0,1023,0.0482214171375072,0.1549168179369395,0.0250238845566952,0.0236373068604055
MAR,4.0,2001.0,1251,0.0537568521148724,-0.0393477262173513,0.0948454838855463,0.0659579123891092
MAR,5.0,2007.0,1200,0.0216474796991885,-0.0284275942044881,0.0175495413580888,0.0555976598764258
MAR,6.0,2011.0,1200,0.0281852537294862,0.0042164579615388,0.0751380221122769,-0.0839876587549204
MAR,7.0,2021.0,1200,-0.0238260961910219,-0.0932959741427099,-0.0533944652126507,0.0355945761054972
MDA,3.0,1996.0,984,-0.0791057278900883,-0.0285467022272385,-0.1451140466156403,-0.0229884437131917
MDA,4.0,2002.0,1008,-0.0698253851321158,-0.0119872485196858,-0.2443650905750351,0.1164222046928934
MDA,5.0,2006.0,1046,-0.111387846093273,-0.0041141350748856,-0.1269284075614431,-0.1402003158197942
MDV,7.0,2021.0,1039,0.0053526636087891,0.077995826115735,-0.0353471663884751,0.0302512161250216
MEX,1.0,1981.0,1837,-0.0072047363283004,0.0306869689847163,,-0.0192901564220945
MEX,2.0,1990.0,1531,-0.0906012966148396,-0.0142644239038722,0.0259198231877391,-0.2238824058435933
MEX,3.0,1996.0,1510,-0.1062617901827962,-0.0903609059926615,-0.1047136424674183,-0.0945062384652488
MEX,4.0,2000.0,1535,-0.121026532007503,-0.0508943078607137,-0.1059845154164291,-0.1744044031568004
MEX,5.0,2005.0,1560,-0.1196792811910245,0.0458102577321238,-0.1995807752748669,-0.0356365446808607
MEX,6.0,2012.0,2000,-0.1083711205538033,0.0018595677297438,-0.1282209207760191,-0.1703631038166695
MEX,7.0,2018.0,1741,-0.1266535380989769,-0.098846837060566,-0.2198921172118532,-0.0340240160363293
MKD,3.0,1998.0,994,-0.0343141638640955,0.1223085433376467,-0.0820893866723527,-0.0196467941840552
MKD,4.0,2001.0,1054,-0.1677590403376221,0.2179397876094712,-0.2766345679381033,-0.1299686218166073
MLI,5.0,2007.0,1533,0.0135759284708834,-0.0943580804914982,-0.0478000324864715,0.2032278759068528
MMR,7.0,2020.0,1200,0.0649956982984763,0.1466023264131316,0.1110449873953428,-0.0318581485689272
MNE,3.0,1996.0,240,0.1022385951263515,0.0905453747150837,0.116629351260543,0.0679047549748293
MNE,4.0,2001.0,1060,-0.0193821352039828,0.2809693830313169,-0.0102196633273647,-0.155222528494334
MNG,7.0,2020.0,1638,-0.1328713644641605,-0.1142822323943518,-0.1895680370818419,-0.0769933597075622
MYS,5.0,2006.0,1201,-0.172327374839416,-0.0168346077571186,-0.2571725943684413,-0.0657428819984345
MYS,6.0,2012.0,1300,0.0580081226003794,0.0912344548228343,0.0077256341145842,0.1258700800240283
MYS,7.0,2018.0,1313,-0.1175015860605751,0.0878561014594958,-0.1853369323501973,-0.1314288477622109
NGA,2.0,1990.0,1001,0.0235162499548595,0.0093635699226971,-0.0553805624186086,0.0571016498089097
NGA,3.0,1995.0,1995,0.0439524267419188,0.1485947473024408,0.0360022317306149,-0.0527861308488019
NGA,4.0,2000.0,2022,-0.034202295115891,0.1515187736921932,-0.0719595793395344,-0.0464598078332096
NGA,6.0,2012.0,1759,0.0035056593756942,0.0268438916422584,-0.0235561131148824,0.0567137809018347
NGA,7.0,2018.0,1237,0.0131072423159869,0.1175959574166587,-0.0737661804515949,0.0402705982694364
NIC,7.0,2020.0,1200,-0.0968512902818618,-0.1024285366840611,-0.1297758434497089,-0.0600516185343061
NIR,7.0,2022.0,447,0.1232418977496267,0.1348674807134363,0.1622924322475623,0.0800380633289563
NLD,5.0,2006.0,1050,-0.1003170551596113,-0.2858404837722811,-0.0099062938319205,-0.2029752124194479
NLD,6.0,2012.0,1897,0.0084100086203017,-0.1689075875681996,0.1067418295639303,-0.0919271632973132
NLD,7.0,2022.0,2087,0.0476291351405162,-0.0920799772286811,0.1098055249503528,0.0377962731936404
NOR,3.0,1996.0,1125,0.1567427878213173,-0.1034324063440766,0.2436688540302506,0.2001554892930229
NOR,5.0,2007.0,1024,0.0845510354364169,-0.1867946147172518,0.0609664256367071,0.310528155454269
NZL,3.0,1998.0,1200,-0.0013047267584421,-0.0603156978034388,0.0952605966915805,-0.1415472602569376
NZL,5.0,2004.0,953,0.1840415628419045,0.0642892438381733,0.3445771576885679,0.1335542720220106
NZL,6.0,2011.0,839,0.1420422109473373,0.0991473892395457,0.195308821349655,0.0957591513300349
NZL,7.0,2020.0,1057,0.1712645174013751,0.137928210591827,0.2388918917304921,0.1203922380168239
PAK,3.0,1997.0,733,-0.0693697965806902,-0.1215407269731996,-0.4553480485705137,0.3607142141346001
PAK,4.0,2001.0,2000,0.005130284093881,0.2471794806658179,-0.0896452563681704,0.0493351074625947
PAK,6.0,2012.0,1200,-0.0096064960574031,-0.129395395830889,-0.024689594858933,0.122526668176374
PAK,7.0,2018.0,1995,-0.1200973132767237,-0.0974500987957875,-0.1116724293488826,-0.1378428584392212
PER,3.0,1996.0,1211,-0.0003491541058912,-0.0550549819678326,0.0714660479178693,-0.1210943040227927
PER,4.0,2001.0,1501,-0.0270964575135957,-0.0746208565638356,0.0015588927279434,-0.1159346789122017
PER,5.0,2006.0,1500,-0.0791474923877726,-0.0191386836078471,-0.0806175518502195,-0.1611389534589841
PER,6.0,2012.0,1210,-0.1192863832584786,-0.0314994424989689,-0.1391593325945093,-0.1609967756949917
PER,7.0,2018.0,1400,-0.1340935189534024,-0.0985567727690177,-0.1523623175361474,-0.131561845463989
PHL,3.0,1996.0,1200,-0.151065154873677,-0.0880200518445916,-0.2485753869735645,-0.0026897007210545
PHL,4.0,2001.0,1200,-0.1247577323328324,-0.0622669991898896,-0.1982222093738458,-0.0542819647315583
PHL,6.0,2012.0,1200,-0.0094130747825207,-0.0953954913790953,-0.0186807252212985,0.0564733433353802
PHL,7.0,2019.0,1200,-0.0274119618123122,0.102465134240263,-0.0711188785545076,-0.0514455865110795
POL,2.0,1989.0,938,0.0980446411922439,0.1309716140579956,0.0562785020143093,0.0426493848181357
POL,3.0,1997.0,1153,-0.0694806034838074,-0.109879716333022,-0.1169237008114118,0.0196136629394447
POL,5.0,2005.0,1000,0.0269322134297661,-0.0996355592477223,0.0420595372059234,0.0250700303468765
POL,6.0,2012.0,966,0.025865913569844,-0.0801042919886379,0.0995258207104149,-0.1189031695099838
PRI,3.0,1995.0,1164,0.0254818604999098,-0.1533692037304662,0.1053200268685836,-0.0009631777736001
PRI,4.0,2001.0,719,0.0365583814633903,-0.0917316870045857,0.1264247974622724,-0.031723554858355
PRI,7.0,2018.0,1126,0.1048267024332991,-0.0140994970270578,0.1222556824374948,0.1370465137984361
PSE,6.0,2013.0,1000,-0.1261373227197682,-0.0227437070748327,-0.1466905780688165,-0.1599826318361388
QAT,6.0,2010.0,1060,0.1064680450512341,0.0358016596158214,-0.0331073610035734,0.3829691159079503
ROU,3.0,1998.0,1239,-0.0150051791139121,0.1225783533642318,-0.0837052080734063,0.0764327212532828
ROU,5.0,2005.0,1776,0.0640198749674518,0.1806993853043605,0.0631163841559793,0.0088625383419736
ROU,6.0,2012.0,1503,0.011578902777342,0.006885999657138,0.0328027645100663,-0.0727592528173181
