country,wave,year,n_respondents,index_all,index_imf,index_idawb,index_unsc
MEX,1.0,1981.0,1837,-0.0743544321348905,0.0306869689847163,,-0.1309531466742033
MEX,2.0,1990.0,1531,-0.0512835424874837,0.0546663963986713,-0.0024158351719335,-0.1478041185318923
MEX,3.0,1996.0,1510,-0.0959811794006377,-0.0337994912863355,-0.1008903825461324,-0.0917428177863121
MEX,4.0,2000.0,1535,-0.1041780495124474,-0.0294930664122895,-0.0769082931172068,-0.1813179060835661
MEX,5.0,2005.0,1560,-0.1260496446115092,-0.0952612201155317,-0.1791914231327016,-0.0203320819420892
MEX,6.0,2012.0,2000,-0.139197511948051,-0.0952376866343403,-0.134425481411015,-0.2049544208876221
MEX,7.0,2018.0,1741,-0.1310374825707052,-0.0193157844861983,-0.2864065156821176,-0.0149511195266185
PER,3.0,1996.0,1211,-0.0168929832887972,-0.0394557742892091,0.0809735777354318,-0.1585775875009838
PER,4.0,2001.0,1501,0.0099263678563419,-0.0950673754615734,0.0290549106749438,-0.0364741976574021
PER,5.0,2006.0,1500,-0.095291020122505,-0.1515960444516097,-0.1116931937930638,-0.0455303154260346
PER,6.0,2012.0,1210,-0.1138973057126239,-0.0681796692907048,-0.1391350963840817,-0.102864651268371
PER,7.0,2018.0,1400,-0.1683229291948111,-0.1818616712077473,-0.2037734611713741,-0.1311879564092939
TUR,2.0,1990.0,1024,-0.1643615801889259,-0.1025211974956141,-0.3521593100794243,-0.0614535962209494
TUR,3.0,1996.0,1905,-0.0340128332964662,-0.0450071941183578,0.0138814672200964,-0.0917483074437301
TUR,4.0,2001.0,3401,-0.1556715442504355,-0.0135401639020372,-0.18267185986175,-0.1734204971725439
TUR,5.0,2007.0,1346,-0.0092892554356765,-0.0845399990523563,0.0346416330909012,-0.0811980997992334
TUR,6.0,2011.0,1605,0.0581385214881337,-0.0387564425453907,0.0536915670243329,0.1378343117792435
TUR,7.0,2018.0,2414,-0.1243525498356888,-0.1922623408426254,-0.1277897216370672,-0.0893039751125847
USA,3.0,1995.0,1542,0.0707867029225961,-0.0023562704507417,0.2332992508863654,-0.0454554455205924
USA,4.0,1999.0,1200,0.0836186445730011,-0.0336400288842864,0.1755462099775977,0.0714461596193069
USA,5.0,2006.0,1235,-0.0333517609335242,0.1740333339416878,-0.0326845556230193,-0.0384442971180915
USA,6.0,2011.0,2221,0.1195149951432025,0.2884077740896703,0.0964574503081569,0.1647571002476976
USA,7.0,2017.0,2595,0.0351632231034468,0.0563855388939178,0.0320084101145011,0.0690445944073235
