country,wave,year,n_respondents,index_all_ym,index_imf_ym,index_idawb_ym,index_unsc_ym,index_all_y,index_imf_y,index_idawb_y,index_unsc_y
CHL,3.0,1996.0,1000,-0.06144040985225304,-0.09808430906635597,-0.04838403666232108,-0.08004355148913227,-0.06613467588317679,-0.037065782721699386,-0.0988143994618626,-0.06929491233029135
CHL,4.0,2000.0,1200,-0.10662222339486983,-0.08784511328501181,-0.10420061668150056,-0.12987159329582348,-0.0798107032589937,0.012811823024930419,-0.12693127766668091,-0.07767626046051118
CHL,5.0,2006.0,1000,-0.07330250858269048,-0.15146589114063744,-0.07284968936314985,-0.04862622642483514,-0.07422926036429411,-0.11848737237597559,-0.08967825416868266,-0.053917115118257565
CHL,6.0,2012.0,1000,-0.06947734187740394,-0.20644807323822062,0.002594044109153914,-0.17493990161011952,-0.0606575201220024,-0.2074061773968573,0.011853459494327272,-0.23339424434458653
CHL,7.0,2018.0,1000,-0.06238602175477777,-0.07457353325296592,-0.11168266208388784,-0.0012401291942499655,-0.06071472746007298,-0.055108370072133026,-0.17049876027398606,0.04851124247884986
CHN,2.0,1990.0,1000,0.18493709391649696,0.10660727666705405,-0.054865683818041085,0.36685362928668075,0.11700236456435745,0.012960461919153562,-0.15372655563900456,0.3110723574973307
CHN,3.0,1995.0,1500,0.10729037260633459,0.13653955126324083,-0.06437327359225385,0.26783127637819676,0.13569141878740454,0.10425647871177011,-0.02106919918366363,0.23756742289965332
CHN,4.0,2001.0,999,0.08808493599362646,-0.05135578255532373,0.02681348333796457,0.2342252540452425,-0.013748087438125394,-0.13224639455707807,-0.06169532543672426,0.09857777886211952
CHN,5.0,2007.0,1979,0.11057696774555811,0.08144656952082309,0.05981756141902925,0.18990977526379174,0.12281039561533376,-0.03236795607354805,0.11391475186153598,0.17001900673815615
CHN,6.0,2013.0,2250,0.16347182691435502,0.20457242770624062,0.08153699420108186,0.2728774242232845,0.16514119269863028,0.1471369932458183,0.10422792040733407,0.3126907139726122
CHN,7.0,2018.0,3036,0.16332611140558997,0.2130521762588546,0.12681798761599336,0.171598184685959,0.11673746795486675,0.11204631938042937,0.09692167716237352,0.12923451278317072
COL,3.0,1997.0,3028,-0.2926151173528447,-0.1730986363444657,-0.477179027125609,-0.07316289730034974,-0.27946867508308343,-0.1730986363444657,-0.43726103772651354,-0.05921266879130815
COL,3.0,1998.0,2996,-0.09492407903829686,-0.3677752973643338,0.009572444569538855,-0.17351254322631732,-0.26943551482939776,-0.5587702724341892,-0.14987471593622576,-0.24441278788218243
COL,5.0,2005.0,3025,-0.14815786885468119,-0.04623640564582389,-0.22993014341700616,-0.053195998558481374,-0.22588559406688727,-0.28291850639173766,-0.2589051317096414,-0.051198802382894634
COL,6.0,2012.0,1512,-0.11540296501007796,-0.054910412331487815,-0.12979007253810693,-0.12096016730081569,-0.13629772128817835,-0.13889214411346132,-0.11660602943886145,-0.1687026312663247
COL,7.0,2018.0,1520,-0.2032586774566689,-0.2282951737848373,-0.22969616596600145,-0.15937335158022928,-0.22049037680154562,-0.189820750701529,-0.272456788684935,-0.17591646243790368
CYP,5.0,2006.0,1049,0.004293995753915655,-0.013436828041321828,-0.00940851221895157,0.06316857156296808,0.009210698760635863,0.009619229642634702,0.04555266180680646,-0.036973667317860934
CYP,6.0,2011.0,1000,0.07286225046977908,0.09356607574319588,0.052691811294174544,0.1319937948933872,0.057955976540496945,0.14493651678267197,0.05172209948272778,0.039541663265652456
CYP,7.0,2019.0,1000,-0.010238410619256169,-0.1026654536382289,0.046398765176576734,-0.013900108092947156,-0.009914434845637022,-0.09726301784040703,0.05813462203305809,-0.02323524720572203
CZE,2.0,1991.0,924,-0.04372773479001055,0.14505738582038724,0.07402918561388798,-0.21969978654913577,-0.04172886708907711,0.16689831162349006,0.05036920988619641,-0.16647329714940381
CZE,3.0,1998.0,1146,-0.042249966265026306,-0.08635531893916767,0.016172820264209617,-0.12973500226883924,0.001579057710835264,-0.008589045432859078,0.019296257172558957,-0.027202891290638857
CZE,7.0,2022.0,1200,0.04622151189667708,0.0847156367465556,0.039508901010640016,0.03294117877938389,0.04879868840854866,0.08921013341320348,-0.008029149499881205,0.08596828919358979
DEU,3.0,1997.0,2026,0.01784387151391266,-0.10201132405880912,0.19972253446244487,-0.3068932620012072,-0.0026965737823520537,-0.17420088975064604,0.2404982243535338,-0.24776660969869185
DEU,5.0,2006.0,2064,0.03795465892221132,0.0326921069438314,0.10514870020817474,-0.11230998357851778,0.026710557616330927,0.0795942197751768,0.08462113898038176,-0.10917110065416866
DEU,6.0,2013.0,2046,0.08839207778929724,-0.16839749933510698,0.2607234584599489,-0.14241686510227733,0.05514204219464046,-0.08737948280120789,0.1952163987942649,-0.2777416539886755
